"5069487-3",
"5122398-3",
"5122542-4",
"5133572-3",
"5133752-3",
"5133826-3",
"5133862-4",
"5133886-3",
"5133886-9",
"5133915-3",
"5133955-3",
"5134017-3",
"5134128-3",
"5134140-3",
"5134174-4",
"5134176-3",
"5134274-4",
"5134471-3",
"5134482-8",
"5134487-8",
"5134499-9",
"5134520-3",
"5134543-4",
"5134674-3",
"5134745-3",
"5134747-3",
"5135077-4",
"5135243-3",
"5135272-3",
"5135639-3",
"5136382-3",
"5136399-3",
"5136481-3",
"5137029-3",
"5137048-4",
"5137631-4",
"5138014-4",
"5138023-3",
"5138099-3",
"5139175-4",
"5139631-3",
"5139811-3",
"5139863-3",
"5140145-3",
"5140147-4",
"5140147-18",
"5140147-32",
"5140150-12",
"5140242-3",
"5140271-12",
"5140282-3",
"5140302-15",
"5140303-14",
"5140303-28",
"5140303-42",
"5140303-56",
"5140304-4",
"5140307-28",
"5140335-12",
"5140335-26",
"5140335-40",
"5140335-54",
"5140335-68",
"5140335-82",
"5140335-96",
"5140335-110",
"5140335-124",
"5140338-34",
"5140455-3",
"5140585-3",
"5140585-17",
"5140586-4",
"5140586-18",
"5140586-32",
"5141808-3",
"5143575-3",
"5144271-3",
"5144755-3",
"5145681-3",
"5147447-3",
"5148129-3",
"5148146-4",
"5149052-3",
"5149053-4",
"5149053-18",
"5149053-32",
"5149053-46",
"5149916-3",
"5149929-4",
"5150067-3",
"5150183-3",
"5150194-3",
"5150221-3",
"5150335-4",
"5150446-4",
"5150506-8",
"5150543-3",
"5150543-17",
"5150544-4",
"5150544-18",
"5150544-32",
"5150544-46",
"5150545-4",
"5150549-4",
"5150549-18",
"5150552-3",
"5151329-3",
"5151333-4",
"5151387-3",
"5151423-12",
"5151423-26",
"5151423-40",
"5151423-54",
"5151423-68",
"5151424-4",
"5151425-16",
"5151426-10",
"5151426-24",
"5151426-38",
"5151496-3",
"5151696-4",
"5151698-15",
"5151710-21",
"5151805-3",
"5151909-3",
"5151914-4",
"5151915-4",
"5151915-18",
"5151915-32",
"5151919-16",
"5151925-4",
"5151928-4",
"5151932-4",
"5152009-3",
"5152187-4",
"5152242-3",
"5152310-3",
"5152389-4",
"5152560-3",
"5152603-11",
"5152737-3",
"5152840-3",
"5152954-3",
"5153000-3",
"5153032-3",
"5153210-3",
"5153334-4",
"5153674-4",
"5154057-3",
"5154215-3",
"5154682-3",
"5154686-3",
"5154694-3",
"5154694-17",
"5154695-4",
"5154695-18",
"5154697-3",
"5154776-4",
"5154976-3",
"5155034-3",
"5155034-17",
"5155034-31",
"5155036-3",
"5155041-13",
"5155064-3",
"5155096-4",
"5155096-18",
"5155096-32",
"5155097-10",
"5155099-3",
"5155099-17",
"5155099-31",
"5155230-4",
"5155339-3",
"5155342-14",
"5155342-28",
"5155348-4",
"5155350-3",
"5155351-4",
"5155351-18",
"5155352-4",
"5155354-4",
"5155355-4",
"5155358-3",
"5155358-17",
"5155401-10",
"5155406-3",
"5155411-4",
"5155424-15",
"5155425-4",
"5155855-3",
"5156381-3",
"5156618-4",
"5156860-3",
"5157371-4",
"5157481-3",
"5158727-3",
"5159404-3",
"5159469-3",
"5159630-3",
"5159684-3",
"5159790-3",
"5159911-3",
"5159916-3",
"5160229-3",
"5160559-3",
"5160667-3",
"5160770-4",
"5160810-3",
"5160813-3",
"5160817-9",
"5160819-3",
"5160824-9",
"5160825-10",
"5160826-4",
"5160827-4",
"5160827-18",
"5160831-4",
"5160831-18",
"5160833-4",
"5160835-3",
"5160838-4",
"5160839-10",
"5160845-16",
"5160846-4",
"5160846-18",
"5160847-4",
"5160848-10",
"5160849-4",
"5160854-4",
"5160862-10",
"5160867-22",
"5160876-4",
"5160879-10",
"5160897-3",
"5160901-3",
"5160903-10",
"5160906-4",
"5160907-16",
"5160907-30",
"5160908-4",
"5160911-15",
"5160913-4",
"5160919-16",
"5160919-30",
"5160924-9",
"5160925-4",
"5160929-4",
"5160929-18",
"5160930-4",
"5160930-18",
"5160933-10",
"5160944-4",
"5160968-4",
"5160984-4",
"5161083-3",
"5161131-3",
"5161177-3",
"5161247-3",
"5161257-3",
"5161266-4",
"5161266-18",
"5161267-4",
"5161278-10",
"5161279-4",
"5161286-4",
"5161294-3",
"5161301-4",
"5161302-4",
"5161512-3",
"5161685-3",
"5161997-4",
"5162041-3",
"5162054-3",
"5162610-3",
"5162620-4",
"5162620-18",
"5162627-4",
"5162629-3",
"5162633-3",
"5162634-4",
"5162635-4",
"5162636-10",
"5162640-10",
"5162641-4",
"5162641-18",
"5162642-4",
"5162647-4",
"5162647-18",
"5162648-10",
"5162652-4",
"5162654-9",
"5162658-9",
"5162658-23",
"5162659-4",
"5162661-3",
"5162662-4",
"5162666-9",
"5162667-10",
"5162668-10",
"5162678-10",
"5162681-8",
"5162689-10",
"5162696-10",
"5162696-24",
"5162702-3",
"5162704-16",
"5162705-4",
"5162709-9",
"5162711-10",
"5162716-3",
"5162721-4",
"5162727-4",
"5162728-4",
"5162744-4",
"5162745-4",
"5162756-4",
"5162756-18",
"5162770-3",
"5162770-17",
"5162773-4",
"5162775-4",
"5162802-3",
"5162836-4",
"5162873-4",
"5163463-3",
"5163549-4",
"5163613-3",
"5163727-3",
"5163945-3",
"5164025-3",
"5164638-3",
"5164667-3",
"5164770-3",
"5165047-4",
"5165178-3",
"5165236-3",
"5165585-3",
"5165981-3",
"5165998-4",
"5166208-4",
"5166540-4",
"5166652-4",
"5166659-4",
"5166787-3",
"5167131-3",
"5168374-4",
"5169684-4",
"5170824-3",
"5171141-4",
"5171349-3",
"5171394-3",
"5171488-3",
"5172070-3",
"5172194-3",
"5174409-3",
"5174846-4",
"5174983-4",
"5175395-3",
"5175811-4",
"5175828-4",
"5177902-3",
"5178926-3",
"5179328-3",
"5179812-3",
"5180158-3",
"5180870-4",
"5182257-4",
"5182532-9",
"5183935-4",
"5184082-4",
"5185366-3",
"5186016-3",
"5186843-3",
"5190858-9",
"5190938-4",
"5191011-10",
"5191495-4",
"5191881-3",
"5192359-3",
"5194173-3",
"5194242-3",
"5194546-3",
"5194555-3",
"5194558-4",
"5194558-18",
"5194560-8",
"5194563-4",
"5194566-4",
"5194568-4",
"5194570-4",
"5194573-4",
"5194574-16",
"5194626-4",
"5194637-4",
"5194638-4",
"5194639-4",
"5194640-4",
"5194641-4",
"5194644-4",
"5194644-18",
"5194646-4",
"5194646-18",
"5194742-3",
"5194746-9",
"5194747-4",
"5194747-18",
"5194750-4",
"5194752-3",
"5194763-4",
"5194766-3",
"5194766-17",
"5194771-4",
"5194773-4",
"5194834-4",
"5194840-4",
"5194840-18",
"5194844-4",
"5194844-18",
"5194849-16",
"5194852-15",
"5194854-3",
"5194863-4",
"5194989-3",
"5195213-10",
"5195301-3",
"5195312-3",
"5196508-4",
"5196627-3",
"5197803-3",
"5197880-4",
"5198658-3",
"5198667-3",
"5200172-3",
"5202982-3",
"5203166-3",
"5204186-4",
"5208072-3",
"5208562-3",
"5209581-4",
"5209823-3",
"5209824-4",
"5209829-15",
"5209830-4",
"5209831-4",
"5209831-18",
"5209833-3",
"5209834-10",
"5209835-4",
"5209839-9",
"5210066-3",
"5210068-3",
"5210071-3",
"5210072-4",
"5210074-9",
"5210074-23",
"5210078-15",
"5210079-4",
